시점,자치구역번호,조출생률,고령인구비율,청년 순이동수,사업체수,문화시설 개수,학원수 (개),수강인원 (명),소멸위험지수,단계
200802,1,10.01,8.4,2244,358446.0,22.0,11261.0,986758.0,2.0452,안정
200803,1,9.73,8.4,-5057,358339.0,22.0,11261.0,986758.0,2.0452,안정
200804,1,9.4,8.5,-6978,358233.0,22.0,11261.0,986758.0,2.0452,안정
200805,1,8.82,8.5,-8537,358126.0,22.0,11261.0,986758.0,2.0452,안정
200806,1,8.6,8.5,-9643,358020.0,22.0,11261.0,986758.0,2.0452,안정
200807,1,8.9,8.6,-7344,357913.0,22.0,11261.0,986758.0,2.0452,안정
200808,1,8.83,8.6,-5456,357807.0,22.0,11261.0,986758.0,2.0452,안정
200809,1,9.66,8.6,-5216,357700.0,22.0,11261.0,986758.0,2.0452,안정
200810,1,9.46,8.7,-4647,357594.0,22.0,11261.0,986758.0,2.0452,안정
200811,1,8.79,8.7,-5379,357487.0,22.0,11261.0,986758.0,2.0452,안정
200812,1,8.11,8.7,-4323,357381.0,22.0,11261.0,986758.0,2.0452,안정
200901,1,10.33,8.8,3430,357274.0,35.0,11261.0,986758.0,1.9064,안정
200902,1,9.24,8.8,7663,357157.0,35.0,11176.0,977506.0,1.9064,안정
200903,1,9.11,8.9,-2366,357041.0,35.0,11176.0,977506.0,1.9064,안정
200904,1,9.12,8.9,-4110,356924.0,35.0,11176.0,977506.0,1.9064,안정
200905,1,8.2,8.9,-2341,356808.0,35.0,11176.0,977506.0,1.9064,안정
200906,1,8.19,9,-2076,356691.0,35.0,11176.0,977506.0,1.9064,안정
200907,1,8.27,9,-3374,356575.0,35.0,11176.0,977506.0,1.9064,안정
200908,1,8.45,9,-4575,356458.0,35.0,11176.0,977506.0,1.9064,안정
200909,1,9,9.1,-7736,356341.0,35.0,11176.0,977506.0,1.9064,안정
200910,1,8.85,9.1,-9592,356225.0,35.0,11176.0,977506.0,1.9064,안정
200911,1,8.54,9.1,-13526,356108.0,35.0,11176.0,977506.0,1.9064,안정
200912,1,7.92,9.2,-13661,355992.0,35.0,11176.0,977506.0,1.9064,안정
201001,1,10.04,9.2,-4124,355575.0,51.0,11176.0,977506.0,1.7768,안정
201002,1,9.31,9.3,-5321,357417.0,51.0,11382.0,1207223.0,1.7768,안정
201003,1,9.62,9.3,-12306,359259.0,51.0,11382.0,1207223.0,1.7768,안정
201004,1,9.12,9.3,-11667,361102.0,51.0,11382.0,1207223.0,1.7768,안정
201005,1,8.57,9.4,-11823,362944.0,51.0,11382.0,1207223.0,1.7768,안정
201006,1,8.6,9.4,-9056,364786.0,51.0,11382.0,1207223.0,1.7768,안정
201007,1,8.35,9.5,-7946,366628.0,51.0,11382.0,1207223.0,1.7768,안정
201008,1,8.69,9.5,-7590,368470.0,51.0,11382.0,1207223.0,1.7768,안정
201009,1,9.82,9.5,-8553,370312.0,51.0,11382.0,1207223.0,1.7768,안정
201010,1,9.97,9.7,-10468,372155.0,51.0,11382.0,1207223.0,1.7768,안정
201011,1,9.82,9.7,-14197,373997.0,51.0,11382.0,1207223.0,1.7768,안정
201012,1,7.94,9.7,-11972,375839.0,51.0,11382.0,1207223.0,1.7768,안정
201101,1,11.04,9.8,-4324,377681.0,54.0,11382.0,1207223.0,1.6596,안정
201102,1,9.19,9.8,-3597,379034.0,54.0,11603.0,1088061.0,1.6596,안정
201103,1,9.56,9.8,-10861,380388.0,54.0,11603.0,1088061.0,1.6596,안정
201104,1,9.41,9.9,-10056,381741.0,54.0,11603.0,1088061.0,1.6596,안정
201105,1,8.76,9.9,-10320,383094.0,54.0,11603.0,1088061.0,1.6596,안정
201106,1,8.48,9.9,-10341,384448.0,54.0,11603.0,1088061.0,1.6596,안정
201107,1,8.61,10,-8720,385801.0,54.0,11603.0,1088061.0,1.6596,안정
201108,1,8.86,10,-9835,387154.0,54.0,11603.0,1088061.0,1.6596,안정
201109,1,9.13,10.1,-9951,388508.0,54.0,11603.0,1088061.0,1.6596,안정
201110,1,8.85,10.1,-9841,389861.0,54.0,11603.0,1088061.0,1.6596,안정
201111,1,8.86,10.1,-12884,391214.0,54.0,11603.0,1088061.0,1.6596,안정
201112,1,7.76,10.2,-12328,392568.0,54.0,11603.0,1088061.0,1.6596,안정
201201,1,10.25,10.3,-3381,393858.0,57.0,11603.0,1088061.0,1.5452,안정
201202,1,9.8,10.3,-2853,394287.0,57.0,11794.0,1146622.0,1.5452,안정
201203,1,9.79,10.4,-9032,394717.0,57.0,11794.0,1146622.0,1.5452,안정
201204,1,9.32,10.4,-8695,395146.0,57.0,11794.0,1146622.0,1.5452,안정
201205,1,8.94,10.5,-8379,395575.0,57.0,11794.0,1146622.0,1.5452,안정
201206,1,9.07,10.5,-7834,396005.0,57.0,11794.0,1146622.0,1.5452,안정
201207,1,9.19,10.6,-8753,396434.0,57.0,11794.0,1146622.0,1.5452,안정
201208,1,9.49,10.6,-9226,396863.0,57.0,11794.0,1146622.0,1.5452,안정
201209,1,9.62,10.7,-8190,397293.0,57.0,11794.0,1146622.0,1.5452,안정
201210,1,9.41,10.7,-11349,397722.0,57.0,11794.0,1146622.0,1.5452,안정
201211,1,9.13,10.8,-11130,398151.0,57.0,11794.0,1146622.0,1.5452,안정
201212,1,7.92,10.8,-14825,398581.0,57.0,11794.0,1146622.0,1.5452,안정
201301,1,10.01,10.9,-4529,399010.0,60.0,11794.0,1146622.0,1.436,양호
201302,1,9.15,11,-4723,401699.0,60.0,11549.0,1093141.0,1.436,양호
201303,1,8.58,11,-7713,404388.0,60.0,11549.0,1093141.0,1.436,양호
201304,1,8.69,11.1,-10005,407077.0,60.0,11549.0,1093141.0,1.436,양호
201305,1,8.04,11.1,-8211,409766.0,60.0,11549.0,1093141.0,1.436,양호
201306,1,7.87,11.2,-8750,412455.0,60.0,11549.0,1093141.0,1.436,양호
201307,1,8.03,11.2,-8888,415145.0,60.0,11549.0,1093141.0,1.436,양호
201308,1,8.28,11.3,-6930,417834.0,60.0,11549.0,1093141.0,1.436,양호
201309,1,8.58,11.3,-6519,420523.0,60.0,11549.0,1093141.0,1.436,양호
201310,1,8.17,11.3,-8773,423212.0,60.0,11549.0,1093141.0,1.436,양호
201311,1,8.17,11.4,-11357,425901.0,60.0,11549.0,1093141.0,1.436,양호
201312,1,7.19,11.5,-14152,428590.0,60.0,11549.0,1093141.0,1.436,양호
201401,1,9.47,11.5,-4272,431279.0,57.0,11549.0,1093141.0,1.3464,양호
201402,1,9.04,11.6,-2832,431872.0,57.0,12006.0,1079283.0,1.3464,양호
201403,1,8.55,11.6,-6143,432466.0,57.0,12006.0,1079283.0,1.3464,양호
201404,1,8.72,11.7,-8456,433059.0,57.0,12006.0,1079283.0,1.3464,양호
201405,1,8.11,11.7,-7587,433652.0,57.0,12006.0,1079283.0,1.3464,양호
201406,1,7.81,11.7,-8395,434246.0,57.0,12006.0,1079283.0,1.3464,양호
201407,1,8.23,11.8,-7519,434839.0,57.0,12006.0,1079283.0,1.3464,양호
201408,1,8.49,11.9,-5663,435432.0,57.0,12006.0,1079283.0,1.3464,양호
201409,1,9.02,11.9,-6126,436026.0,57.0,12006.0,1079283.0,1.3464,양호
201410,1,8.25,11.9,-9122,436619.0,57.0,12006.0,1079283.0,1.3464,양호
201411,1,7.62,12,-9168,437212.0,57.0,12006.0,1079283.0,1.3464,양호
201412,1,7.4,12,-12548,437806.0,57.0,12006.0,1079283.0,1.3464,양호
201501,1,9.5,12.1,-3055,438399.0,57.0,12086.0,1139056.0,1.2724,양호
201502,1,8.74,12.2,-4136,438315.0,57.0,12086.0,1139056.0,1.2724,양호
