지역,연도,사업체수
서울특별시,200802,358446
서울특별시,200803,358339
서울특별시,200804,358233
서울특별시,200805,358126
서울특별시,200806,358020
서울특별시,200807,357913
서울특별시,200808,357807
서울특별시,200809,357700
서울특별시,200810,357594
서울특별시,200811,357487
서울특별시,200812,357381
서울특별시,200901,357274
서울특별시,200902,357157
서울특별시,200903,357041
서울특별시,200904,356924
서울특별시,200905,356808
서울특별시,200906,356691
서울특별시,200907,356575
서울특별시,200908,356458
서울특별시,200909,356341
서울특별시,200910,356225
서울특별시,200911,356108
서울특별시,200912,355992
서울특별시,201001,355575
서울특별시,201002,357417
서울특별시,201003,359259
서울특별시,201004,361102
서울특별시,201005,362944
서울특별시,201006,364786
서울특별시,201007,366628
서울특별시,201008,368470
서울특별시,201009,370312
서울특별시,201010,372155
서울특별시,201011,373997
서울특별시,201012,375839
서울특별시,201101,377681
서울특별시,201102,379034
서울특별시,201103,380388
서울특별시,201104,381741
서울특별시,201105,383094
서울특별시,201106,384448
서울특별시,201107,385801
서울특별시,201108,387154
서울특별시,201109,388508
서울특별시,201110,389861
서울특별시,201111,391214
서울특별시,201112,392568
서울특별시,201201,393858
서울특별시,201202,394287
서울특별시,201203,394717
서울특별시,201204,395146
서울특별시,201205,395575
서울특별시,201206,396005
서울특별시,201207,396434
서울특별시,201208,396863
서울특별시,201209,397293
서울특별시,201210,397722
서울특별시,201211,398151
서울특별시,201212,398581
서울특별시,201301,399010
서울특별시,201302,401699
서울특별시,201303,404388
서울특별시,201304,407077
서울특별시,201305,409766
서울특별시,201306,412455
서울특별시,201307,415145
서울특별시,201308,417834
서울특별시,201309,420523
서울특별시,201310,423212
서울특별시,201311,425901
서울특별시,201312,428590
서울특별시,201401,431279
서울특별시,201402,431872
서울특별시,201403,432466
서울특별시,201404,433059
서울특별시,201405,433652
서울특별시,201406,434246
서울특별시,201407,434839
서울특별시,201408,435432
서울특별시,201409,436026
서울특별시,201410,436619
서울특별시,201411,437212
서울특별시,201412,437806
서울특별시,201501,438399
서울특별시,201502,438315
서울특별시,201503,438231
서울특별시,201504,438147
서울특별시,201505,438063
서울특별시,201506,437979
서울특별시,201507,437895
서울특별시,201508,437811
서울특별시,201509,437727
서울특별시,201510,437643
서울특별시,201511,437559
서울특별시,201512,437475
서울특별시,201601,437391
서울특별시,201602,438134
서울특별시,201603,438877
서울특별시,201604,439620
서울특별시,201605,440363
서울특별시,201606,441106
서울특별시,201607,441850
서울특별시,201608,442593
서울특별시,201609,443336
서울특별시,201610,444079
서울특별시,201611,444822
서울특별시,201612,445565
서울특별시,201701,447316
서울특별시,201702,446583
서울특별시,201703,445850
서울특별시,201704,445116
서울특별시,201705,444383
서울특별시,201706,443650
서울특별시,201707,442917
서울특별시,201708,442183
서울특별시,201709,441450
서울특별시,201710,440717
서울특별시,201711,439984
서울특별시,201712,439250
서울특별시,201801,438517
