행정구역별(1),시점,고령인구비율<br>(A÷B×100) (%),65세이상인구<br>(A) (명),전체인구<br>(B) (명)
서울특별시,2008.02,8.4,857358,10212056
서울특별시,2008.03,8.4,861994,10206136
서울특별시,2008.04,8.5,865240,10206862
서울특별시,2008.05,8.5,867872,10204867
서울특별시,2008.06,8.5,869676,10196863
서울특별시,2008.07,8.6,871860,10196644
서울특별시,2008.08,8.6,875363,10197320
서울특별시,2008.09,8.6,879347,10198705
서울특별시,2008.1,8.7,882520,10200440
서울특별시,2008.11,8.7,885966,10199174
서울특별시,2008.12,8.7,890052,10200827
서울특별시,2009.01,8.8,895941,10207304
서울특별시,2009.02,8.8,900557,10221170
서울특별시,2009.03,8.9,905529,10225908
서울특별시,2009.04,8.9,910624,10218707
서울특별시,2009.05,8.9,914513,10222778
서울특별시,2009.06,9,917112,10226685
서울특별시,2009.07,9,919780,10229471
서울특별시,2009.08,9,923511,10230476
서울특별시,2009.09,9.1,927560,10228160
서울특별시,2009.1,9.1,930874,10224788
서울특별시,2009.11,9.1,932969,10217035
서울특별시,2009.12,9.2,935757,10208302
서울특별시,2010.01,9.2,940994,10213153
서울특별시,2010.02,9.3,945339,10214085
서울특별시,2010.03,9.3,949680,10208670
서울특별시,2010.04,9.3,953616,10203549
서울특별시,2010.05,9.4,957551,10197997
서울특별시,2010.06,9.4,960384,10194327
서울특별시,2010.07,9.5,963944,10191949
서울특별시,2010.08,9.5,966907,10189598
서울특별시,2010.09,9.5,969055,10186556
서울특별시,2010.1,9.7,1000109,10328915
서울특별시,2010.11,9.7,1001391,10319500
서울특별시,2010.12,9.7,1002770,10312545
서울특별시,2011.01,9.8,1005863,10312835
서울특별시,2011.02,9.8,1009226,10314245
서울특별시,2011.03,9.8,1013180,10307783
서울특별시,2011.04,9.9,1015641,10301829
서울특별시,2011.05,9.9,1018529,10295643
서울특별시,2011.06,9.9,1020473,10288284
서울특별시,2011.07,10,1024274,10282472
서울특별시,2011.08,10,1028757,10277507
서울특별시,2011.09,10.1,1033344,10271880
서울특별시,2011.1,10.1,1037532,10266174
서울특별시,2011.11,10.1,1040696,10257741
서울특별시,2011.12,10.2,1044750,10249679
서울특별시,2012.01,10.3,1051592,10250134
서울특별시,2012.02,10.3,1059840,10251297
서울특별시,2012.03,10.4,1065727,10245782
서울특별시,2012.04,10.4,1069747,10241387
서울특별시,2012.05,10.5,1074397,10237054
서울특별시,2012.06,10.5,1078098,10232281
서울특별시,2012.07,10.6,1082567,10227761
서울특별시,2012.08,10.6,1087409,10223243
서울특별시,2012.09,10.7,1092672,10219334
서울특별시,2012.1,10.7,1097180,10212445
서울특별시,2012.11,10.8,1100832,10205843
서울특별시,2012.12,10.8,1105583,10195318
서울특별시,2013.01,10.9,1112074,10195064
서울특별시,2013.02,11,1118125,10196434
서울특별시,2013.03,11,1124282,10192057
서울특별시,2013.04,11.1,1128012,10185955
서울특별시,2013.05,11.1,1132280,10181807
서울특별시,2013.06,11.2,1135929,10176560
서울특별시,2013.07,11.2,1139987,10172002
서울특별시,2013.08,11.3,1144831,10168997
서울특별시,2013.09,11.3,1149455,10166691
서울특별시,2013.1,11.3,1153045,10162099
서울특별시,2013.11,11.4,1157003,10154180
서울특별시,2013.12,11.5,1161708,10143645
서울특별시,2014.01,11.5,1167971,10143164
서울특별시,2014.02,11.6,1173044,10144173
서울특별시,2014.03,11.6,1178004,10141727
서울특별시,2014.04,11.7,1181329,10137313
서울특별시,2014.05,11.7,1185221,10133734
서울특별시,2014.06,11.7,1188361,10129223
서울특별시,2014.07,11.8,1194587,10125912
서울특별시,2014.08,11.9,1200034,10124243
서울특별시,2014.09,11.9,1204968,10122661
서울특별시,2014.1,11.9,1208987,10117909
서울특별시,2014.11,12,1212577,10112156
서울특별시,2014.12,12,1216529,10103233
서울특별시,2015.01,12.1,1223221,10104515
서울특별시,2015.02,12.2,1228647,10105206
서울특별시,2015.03,12.2,1233528,10100987
서울특별시,2015.04,12.3,1237181,10094889
서울특별시,2015.05,12.3,1241410,10088393
서울특별시,2015.06,12.3,1243829,10078850
서울특별시,2015.07,12.4,1247714,10071654
서울특별시,2015.08,12.4,1250634,10063197
서울특별시,2015.09,12.5,1253588,10055027
서울특별시,2015.1,12.5,1256754,10045027
서울특별시,2015.11,12.6,1259607,10035597
서울특별시,2015.12,12.6,1262436,10022181
서울특별시,2016.01,12.7,1267890,10018537
서울특별시,2016.02,12.7,1271408,10014261
서울특별시,2016.03,12.7,1274296,10009588
서울특별시,2016.04,12.8,1276417,10002979
서울특별시,2016.05,12.8,1278827,9995784
서울특별시,2016.06,12.8,1280784,9989795
서울특별시,2016.07,12.9,1283613,9981673
서울특별시,2016.08,12.9,1285551,9971111
서울특별시,2016.09,12.9,1288162,9964291
서울특별시,2016.1,13,1290645,9954791
