시점,자치구역번호,문화시설 개수,학원수 (개),수강인원 (명),소멸위험지수,단계
200802,1,22,11261,986758,2.0452,안정
200803,1,22,11261,986758,2.0452,안정
200804,1,22,11261,986758,2.0452,안정
200805,1,22,11261,986758,2.0452,안정
200806,1,22,11261,986758,2.0452,안정
200807,1,22,11261,986758,2.0452,안정
200808,1,22,11261,986758,2.0452,안정
200809,1,22,11261,986758,2.0452,안정
200810,1,22,11261,986758,2.0452,안정
200811,1,22,11261,986758,2.0452,안정
200812,1,22,11261,986758,2.0452,안정
200901,1,35,11261,986758,1.9064,안정
200902,1,35,11176,977506,1.9064,안정
200903,1,35,11176,977506,1.9064,안정
200904,1,35,11176,977506,1.9064,안정
200905,1,35,11176,977506,1.9064,안정
200906,1,35,11176,977506,1.9064,안정
200907,1,35,11176,977506,1.9064,안정
200908,1,35,11176,977506,1.9064,안정
200909,1,35,11176,977506,1.9064,안정
200910,1,35,11176,977506,1.9064,안정
200911,1,35,11176,977506,1.9064,안정
200912,1,35,11176,977506,1.9064,안정
201001,1,51,11176,977506,1.7768,안정
201002,1,51,11382,1207223,1.7768,안정
201003,1,51,11382,1207223,1.7768,안정
201004,1,51,11382,1207223,1.7768,안정
201005,1,51,11382,1207223,1.7768,안정
201006,1,51,11382,1207223,1.7768,안정
201007,1,51,11382,1207223,1.7768,안정
201008,1,51,11382,1207223,1.7768,안정
201009,1,51,11382,1207223,1.7768,안정
201010,1,51,11382,1207223,1.7768,안정
201011,1,51,11382,1207223,1.7768,안정
201012,1,51,11382,1207223,1.7768,안정
201101,1,54,11382,1207223,1.6596,안정
201102,1,54,11603,1088061,1.6596,안정
201103,1,54,11603,1088061,1.6596,안정
201104,1,54,11603,1088061,1.6596,안정
201105,1,54,11603,1088061,1.6596,안정
201106,1,54,11603,1088061,1.6596,안정
201107,1,54,11603,1088061,1.6596,안정
201108,1,54,11603,1088061,1.6596,안정
201109,1,54,11603,1088061,1.6596,안정
201110,1,54,11603,1088061,1.6596,안정
201111,1,54,11603,1088061,1.6596,안정
201112,1,54,11603,1088061,1.6596,안정
201201,1,57,11603,1088061,1.5452,안정
201202,1,57,11794,1146622,1.5452,안정
201203,1,57,11794,1146622,1.5452,안정
201204,1,57,11794,1146622,1.5452,안정
201205,1,57,11794,1146622,1.5452,안정
201206,1,57,11794,1146622,1.5452,안정
201207,1,57,11794,1146622,1.5452,안정
201208,1,57,11794,1146622,1.5452,안정
201209,1,57,11794,1146622,1.5452,안정
201210,1,57,11794,1146622,1.5452,안정
201211,1,57,11794,1146622,1.5452,안정
201212,1,57,11794,1146622,1.5452,안정
201301,1,60,11794,1146622,1.436,양호
201302,1,60,11549,1093141,1.436,양호
201303,1,60,11549,1093141,1.436,양호
201304,1,60,11549,1093141,1.436,양호
201305,1,60,11549,1093141,1.436,양호
201306,1,60,11549,1093141,1.436,양호
201307,1,60,11549,1093141,1.436,양호
201308,1,60,11549,1093141,1.436,양호
201309,1,60,11549,1093141,1.436,양호
201310,1,60,11549,1093141,1.436,양호
201311,1,60,11549,1093141,1.436,양호
201312,1,60,11549,1093141,1.436,양호
201401,1,57,11549,1093141,1.3464,양호
201402,1,57,12006,1079283,1.3464,양호
201403,1,57,12006,1079283,1.3464,양호
201404,1,57,12006,1079283,1.3464,양호
201405,1,57,12006,1079283,1.3464,양호
201406,1,57,12006,1079283,1.3464,양호
201407,1,57,12006,1079283,1.3464,양호
201408,1,57,12006,1079283,1.3464,양호
201409,1,57,12006,1079283,1.3464,양호
201410,1,57,12006,1079283,1.3464,양호
201411,1,57,12006,1079283,1.3464,양호
201412,1,57,12006,1079283,1.3464,양호
201501,1,57,12086,1139056,1.2724,양호
201502,1,57,12086,1139056,1.2724,양호
201503,1,57,12086,1139056,1.2724,양호
201504,1,57,12086,1139056,1.2724,양호
201505,1,57,12086,1139056,1.2724,양호
201506,1,57,12086,1139056,1.2724,양호
201507,1,57,12086,1139056,1.2724,양호
201508,1,57,12086,1139056,1.2724,양호
201509,1,57,12086,1139056,1.2724,양호
201510,1,57,12086,1139056,1.2724,양호
201511,1,57,12086,1139056,1.2724,양호
201512,1,57,12086,1139056,1.2724,양호
201601,1,96,13168,1602753,1.2172,양호
201602,1,96,13168,1602753,1.2172,양호
201603,1,96,13168,1602753,1.2172,양호
201604,1,96,13168,1602753,1.2172,양호
201605,1,96,13168,1602753,1.2172,양호
201606,1,96,13168,1602753,1.2172,양호
201607,1,96,13168,1602753,1.2172,양호
201608,1,96,13168,1602753,1.2172,양호
201609,1,96,13168,1602753,1.2172,양호
201610,1,96,13168,1602753,1.2172,양호
201611,1,96,13168,1602753,1.2172,양호
201612,1,96,13168,1602753,1.2172,양호
201701,1,107,13477,1447979,1.1592,양호
201702,1,107,13477,1447979,1.1592,양호
201703,1,107,13477,1447979,1.1592,양호
201704,1,107,13477,1447979,1.1592,양호
201705,1,107,13477,1447979,1.1592,양호
201706,1,107,13477,1447979,1.1592,양호
201707,1,107,13477,1447979,1.1592,양호
201708,1,107,13477,1447979,1.1592,양호
201709,1,107,13477,1447979,1.1592,양호
201710,1,107,13477,1447979,1.1592,양호
201711,1,107,13477,1447979,1.1592,양호
201712,1,107,13477,1447979,1.1592,양호
201801,1,111,13688,1113069,1.1064,양호
201802,1,111,13688,1113069,1.1064,양호
201803,1,111,13688,1113069,1.1064,양호
201804,1,111,13688,1113069,1.1064,양호
201805,1,111,13688,1113069,1.1064,양호
201806,1,111,13688,1113069,1.1064,양호
201807,1,111,13688,1113069,1.1064,양호
201808,1,111,13688,1113069,1.1064,양호
201809,1,111,13688,1113069,1.1064,양호
201810,1,111,13688,1113069,1.1064,양호
201811,1,111,13688,1113069,1.1064,양호
201812,1,111,13688,1113069,1.1064,양호
201901,1,115,13405,1143487,1.0572,양호
201902,1,115,13405,1143487,1.0572,양호
201903,1,115,13405,1143487,1.0572,양호
201904,1,115,13405,1143487,1.0572,양호
201905,1,115,13405,1143487,1.0572,양호
201906,1,115,13405,1143487,1.0572,양호
201907,1,115,13405,1143487,1.0572,양호
201908,1,115,13405,1143487,1.0572,양호
201909,1,115,13405,1143487,1.0572,양호
201910,1,115,13405,1143487,1.0572,양호
201911,1,115,13405,1143487,1.0572,양호
201912,1,115,13405,1143487,1.0572,양호
202001,1,120,13671,2250634,1.0032,양호
202002,1,120,13671,2250634,1.0032,양호
202003,1,120,13671,2250634,1.0032,양호
202004,1,120,13671,2250634,1.0032,양호
202005,1,120,13671,2250634,1.0032,양호
202006,1,120,13671,2250634,1.0032,양호
202007,1,120,13671,2250634,1.0032,양호
202008,1,120,13671,2250634,1.0032,양호
202009,1,120,13671,2250634,1.0032,양호
202010,1,120,13671,2250634,1.0032,양호
202011,1,120,13671,2250634,1.0032,양호
202012,1,120,13671,2250634,1.0032,양호
202101,1,121,13989,2468263,0.8948,주의
202102,1,121,13989,2468263,0.8948,주의
202103,1,121,13989,2468263,0.8948,주의
202104,1,121,13989,2468263,0.8948,주의
202105,1,121,13989,2468263,0.8948,주의
202106,1,121,13989,2468263,0.8948,주의
202107,1,121,13989,2468263,0.8948,주의
202108,1,121,13989,2468263,0.8948,주의
202109,1,121,13989,2468263,0.8948,주의
202110,1,121,13989,2468263,0.8948,주의
202111,1,121,13989,2468263,0.8948,주의
202112,1,121,13989,2468263,0.8948,주의
202201,1,126,13974,2448712,,
202202,1,126,13974,2448712,,
202203,1,126,13974,2448712,,
202204,1,126,13974,2448712,,
202205,1,126,13974,2448712,,
202206,1,126,13974,2448712,,
202207,1,126,13974,2448712,,
202208,1,126,13974,2448712,,
202209,1,126,13974,2448712,,
202210,1,126,13974,2448712,,
202211,1,126,13974,2448712,,
202212,1,126,13974,2448712,,
202301,1,,14189,2629599,,
202302,1,,14189,2629599,,
202303,1,,14189,2629599,,
202304,1,,14189,2629599,,
202305,1,,14189,2629599,,
202306,1,,14189,2629599,,
202307,1,,14189,2629599,,
202308,1,,14189,2629599,,
202309,1,,14189,2629599,,
202310,1,,14189,2629599,,
202311,1,,14189,2629599,,
202312,1,,14189,2629599,,
202401,1,,14080,4412948,,
202402,1,,14080,4412948,,
200802,2,11,4070,278250,1.430625,양호
200803,2,11,4070,278250,1.430625,양호
200804,2,11,4070,278250,1.430625,양호
200805,2,11,4070,278250,1.430625,양호
200806,2,11,4070,278250,1.430625,양호
200807,2,11,4070,278250,1.430625,양호
200808,2,11,4070,278250,1.430625,양호
200809,2,11,4070,278250,1.430625,양호
200810,2,11,4070,278250,1.430625,양호
200811,2,11,4070,278250,1.430625,양호
200812,2,11,4070,278250,1.430625,양호
200901,2,14,4070,278250,1.321875,양호
200902,2,14,4987,277768,1.321875,양호
